Country,League,Club,Player Names,Matches_Played,Substitution,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year,value
France,France Ligue 18,(NAN),ludovic blas,11,1,990,4,1.88,0.18,19,7,1.82,0.67,2020,8000000
France,France Ligue 10,(MON),kevin volland,9,1,709,5,3.43,0.46,12,11,1.61,1.47,2020,28000000
France,France Ligue 3,(MPE),andy delort,11,0,902,6,4.18,0.44,31,14,3.26,1.47,2020,10000000
France,France Ligue 5,(MET),ibrahima niane,6,0,482,6,3.45,0.68,21,9,4.14,1.77,2020,3000000
France,France Ligue 2,(REI),boulaye dia,9,1,772,8,5.28,0.65,25,12,3.08,1.48,2020,4000000
France,France Ligue 20,(PSG),moise kean,6,0,454,4,3.2,0.67,14,5,2.93,1.05,2020,25000000
France,France Ligue 15,(LEN),ignatius ganago,6,3,452,4,3.33,0.7,14,7,2.94,1.47,2020,3000000
France,France Ligue 8,(BRE),irvin cardona,6,5,627,5,2.71,0.41,21,8,3.18,1.21,2020,4000000
France,France Ligue 14,(MAR),florian thauvin,10,0,835,4,2.99,0.34,21,8,2.39,0.91,2020,32000000
France,France Ligue 13,(NIC),amine gouiri,9,2,903,4,3.33,0.35,26,10,2.74,1.05,2020,4000000
France,France Ligue 16,(LIL),jonathan bamba,11,1,1061,4,1.68,0.15,25,9,2.24,0.81,2020,16000000
France,France Ligue 17,(STR),ludovic ajorque,11,0,1008,4,3.61,0.34,17,8,1.6,0.75,2020,6000000
France,France Ligue 11,(LYO),memphis depay,9,3,903,5,4.75,0.5,30,10,3.16,1.05,2020,44000000
England,Premier League,(MNU),bruno fernandes,9,0,809,7,5.45,0.64,30,14,3.52,1.64,2020,48000000
England,Premier League,(CHE),timo werner,10,0,876,4,3.69,0.4,23,10,2.49,1.08,2020,64000000
England,Premier League,(NEW),callum wilson,9,0,835,7,6.5,0.74,18,8,2.05,0.91,2020,24000000
England,Premier League,(LIV),diogo jota,5,3,530,5,2.51,0.45,20,11,3.58,1.97,2020,40000000
England,Premier League,(CRY),wilfried zaha,8,0,779,5,4.35,0.53,18,7,2.2,0.85,2020,44000000
England,Premier League,(AVL),jack grealish,9,0,872,5,2.85,0.31,26,9,2.83,0.98,2020,30000000
England,Premier League,(WHU),jarrod bowen,10,0,845,4,2.94,0.33,22,5,2.47,0.56,2020,16000000
England,Premier League,(LIV),mohamed salah,9,0,831,8,6.12,0.7,35,15,4.0,1.71,2020,120000000
England,Premier League,(LEI),jamie vardy,8,1,780,8,8.7,1.06,21,15,2.56,1.83,2020,16000000
England,Premier League,(TOT),harry kane,10,0,956,7,6.64,0.66,39,15,3.88,1.49,2020,120000000
England,Premier League,,danny ings,7,0,662,5,2.58,0.37,15,9,2.15,1.29,2020,17000000
England,Premier League,(BHA),neal maupay,9,0,786,4,6.54,0.79,25,11,3.02,1.33,2020,17000000
England,Premier League,(MNC),riyad mahrez,7,0,612,4,1.93,0.3,21,10,3.26,1.55,2020,48000000
Brazil,Campeonato Brasileiro S̩rie A,(FLA),pedro,12,6,1207,10,10.42,0.82,46,25,3.62,1.97,2020,7500000
Brazil,Campeonato Brasileiro S̩rie A,(FLA),pedro,12,6,1207,10,10.42,0.82,46,25,3.62,1.97,2020,12000000
