Country,League,Club,Player Names,Matches_Played,Substitution,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year,value
Spain,La Liga,(SOC),portu,6,5,691,4,1.53,0.21,6,4,0.82,0.55,2020,16000000
Spain,La Liga,(RMA),karim benzema,8,0,741,4,4.91,0.63,27,12,3.46,1.54,2020,32000000
Spain,La Liga,(VAL),carlos soler,6,1,599,4,3.34,0.53,8,5,1.27,0.79,2020,40000000
Spain,La Liga,(BET),cristian tello,7,4,629,4,1.92,0.29,22,8,3.32,1.21,2020,4000000
Spain,La Liga,(SOC),mikel oyarzabal,9,2,736,7,6.82,0.88,31,16,4.0,2.07,2020,48000000
Spain,La Liga,(EIB),esteban burgos,6,1,589,3,2.85,0.46,5,4,0.81,0.65,2020,72500
Spain,La Liga,(BAR),lionel messi,8,1,824,4,5.46,0.63,39,19,4.5,2.19,2020,112000000
Spain,La Liga,(ATL),luis suarez,5,1,387,5,3.3,0.81,22,8,5.4,1.96,2020,28000000
Spain,La Liga,(VIL),paco alcacer,9,0,693,5,5.11,0.7,16,8,2.19,1.1,2020,28000000
Spain,La Liga,(VIL),paco alcacer,9,0,693,5,5.11,0.7,16,8,2.19,1.1,2020,28000000
Spain,La Liga,(RMA),federico valverde,6,2,566,3,1.13,0.19,9,5,1.51,0.84,2020,54000000
Spain,La Liga,(BAR),antoine griezmann,8,1,634,3,3.67,0.55,18,8,2.7,1.2,2020,96000000
Spain,La Liga,(CEL),iago aspas,11,0,1056,5,4.89,0.44,21,12,1.89,1.08,2020,16000000
Spain,La Liga,(BAR),ansu fati,6,1,451,4,1.8,0.38,14,7,2.95,1.47,2020,80000000
Spain,La Liga,(VIL),gerard moreno,9,0,822,6,6.4,0.74,29,11,3.35,1.27,2020,16000000
Italy,Serie A,(BOL),roberto soriano,9,0,849,5,2.41,0.27,18,7,2.01,0.78,2020,6000000
Italy,Serie A,(SAS),francesco caputo,6,0,567,5,3.52,0.59,18,9,3.02,1.51,2020,5000000
Italy,Serie A,(CAG),joao pedro,9,0,831,6,3.41,0.39,21,10,2.4,1.14,2020,14000000
Italy,Serie A,(CAG),joao pedro,9,0,831,6,3.41,0.39,21,10,2.4,1.14,2020,12000000
Italy,Serie A,(TOR),andrea belotti,8,0,754,7,3.49,0.44,24,11,3.02,1.39,2020,32000000
Italy,Serie A,(FIO),gaetano castrovilli,9,0,755,4,1.43,0.18,11,7,1.38,0.88,2020,20000000
Italy,Serie A,(CAG),giovanni simeone,8,0,664,5,3.29,0.47,15,5,2.15,0.72,2020,13000000
Italy,Serie A,(SAS),domenico berardi,8,0,766,4,2.02,0.25,21,11,2.6,1.36,2020,19000000
Italy,Serie A,(ROM),henrikh mkhitaryan,9,0,825,5,5.82,0.67,30,14,3.45,1.61,2020,20000000
Italy,Serie A,(ROM),henrikh mkhitaryan,9,0,825,5,5.82,0.67,30,14,3.45,1.61,2020,20000000
Italy,Serie A,(ROM),jordan veretout,9,0,769,4,3.48,0.43,18,7,2.22,0.86,2020,20000000
Italy,Serie A,(PAR),gervinho,8,0,669,4,1.97,0.28,13,5,1.85,0.71,2020,5000000
Italy,Serie A,(ATA),luis muriel,3,4,264,4,2.78,1.0,20,7,7.2,2.52,2020,15000000
Italy,Serie A,(JUV),cristiano ronaldo,5,1,397,8,5.31,1.27,26,13,6.22,3.11,2020,60000000
Italy,Serie A,(INT),romelu lukaku,6,2,580,7,7.27,1.19,22,10,3.6,1.64,2020,68000000
Italy,Serie A,(NAP),dries mertens,9,0,616,4,2.46,0.38,24,11,3.7,1.7,2020,20000000
Italy,Serie A,(LAZ),ciro immobile,6,1,571,5,3.73,0.62,22,8,3.66,1.33,2020,40000000
Italy,Serie A,(SAM),fabio quagliarella,8,1,694,5,4.46,0.61,23,9,3.15,1.23,2020,1000000
Italy,Serie A,(ACM),zlatan ibrahimovic,6,0,557,10,7.92,1.35,35,16,5.97,2.73,2020,3500000
Italy,Serie A,(NAP),hirving lozano,9,0,568,4,2.93,0.49,18,11,3.01,1.84,2020,28000000
Germany,Bundesliga,(LEV),lucas alario,6,1,561,7,3.07,0.52,20,11,3.39,1.86,2020,13000000
Germany,Bundesliga,(FRA),bas dost,8,1,732,3,3.24,0.42,14,8,1.82,1.04,2020,5500000
Germany,Bundesliga,(BAY),serge gnabry,7,1,626,4,1.58,0.24,18,9,2.73,1.37,2020,72000000
Germany,Bundesliga,(WOB),wout weghorst,8,1,778,6,5.57,0.68,25,14,3.05,1.71,2020,21000000
Germany,Bundesliga,(RBL),dani olmo,9,0,834,4,2.28,0.26,19,8,2.16,0.91,2020,33000000
Germany,Bundesliga,(KOL),ellyes skhiri,8,0,709,3,1.87,0.25,6,3,0.8,0.4,2020,6000000
Germany,Bundesliga,(BMG),lars stindl,7,2,567,4,3.52,0.59,19,9,3.18,1.51,2020,6000000
Germany,Bundesliga,(FCA),daniel caligiuri,9,0,841,3,0.8,0.09,11,5,1.24,0.56,2020,4000000
Germany,Bundesliga,(DOR),erling haaland,7,1,683,10,6.76,0.94,30,14,4.17,1.95,2020,72000000
Germany,Bundesliga,(SCF),nils petersen,6,3,608,4,2.11,0.33,15,7,2.34,1.09,2020,6000000
Germany,Bundesliga,(BSC),matheus cunha,9,0,857,6,3.43,0.38,26,15,2.88,1.66,2020,13000000
Germany,Bundesliga,(BSC),matheus cunha,9,0,857,6,3.43,0.38,26,15,2.88,1.66,2020,13000000
Germany,Bundesliga,(BAY),robert lewandowski,7,1,672,12,7.78,1.1,35,17,4.95,2.4,2020,56000000
